Stock Name, Units traded, SOD Price, EOD Price, Stock Market
Chambal Fertilizers,300,75.89,78.98,BSE
Unitech,289,28.73,23.87,BSE
AON Industries,371,87.73,88.67,BSE
HDFC Bank,626,1258.56,1235.98,BSE
Infosys Technologies,729,2356.46,2389.82,BSE
Dhampur Sugar Mills,625,87.57,83.87,BSE
Arvind Mills,205,348.98,351.89,BSE
Nucleus Software,826,72.85,78.98,BSE
Polaris,592,82.48,78.87,BSE
NTTS Technologies,519,83.85,76.86,BSE
Chambal Fertilizers,300,75.76,73.98,NSE
Unitech,289,28.73,23.87,NSE
AON Industries,371,87.73,88.67,NSE
HDFC Bank,626,1758.56,1735.98,NSE
Infosys Technologies,729,2356.46,2389.82,NSE
Dhampur Sugar Mills,625,87.57,83.87,NSE
Arvind Mills,205,348.98,351.89,NSE
Nucleus Software,826,72.85,78.98,NSE
Polaris,592,82.48,78.87,NSE
NTTS Technologies,519,83.85,76.86,NSE
